ID,Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,Family_Size,Is_Parent,Spent
5524,Graduate,Alone,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,65,0,1,0,1617
2174,Graduate,Alone,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,68,2,3,1,27
4141,Graduate,Partner,71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,57,0,2,0,776
6182,Graduate,Partner,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,38,1,3,1,53
5324,Postgraduate,Partner,58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,41,1,3,1,422
7446,Postgraduate,Partner,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,55,1,3,1,716
965,Graduate,Alone,55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,51,1,2,1,590
6177,Postgraduate,Partner,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,37,1,3,1,169
4855,Postgraduate,Partner,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,48,1,3,1,46
5899,Postgraduate,Partner,5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,72,2,4,1,49
1994,Graduate,Partner,52720.37366,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,39,1,3,1,19
387,Undergrade,Partner,7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,46,0,2,0,61
2125,Graduate,Alone,63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,63,0,1,0,1102
8180,Postgraduate,Alone,59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,70,2,3,1,310
2569,Graduate,Partner,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,35,0,2,0,46
2114,Postgraduate,Alone,82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,76,0,1,0,1315
9736,Graduate,Partner,41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,42,2,4,1,96
4939,Graduate,Partner,37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,76,0,2,0,317
6565,Postgraduate,Partner,76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,73,1,3,1,1782
2278,Undergrade,Alone,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,37,1,2,1,133
9360,Graduate,Partner,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,40,0,2,0,316
5376,Graduate,Partner,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,43,1,3,1,1730
